,occupation,gender,employee_new,year
1785,"Service occupations, except protective",Men,61000,2019
1786,Sales and related occupations,Men,1000,2019
1787,Office and administrative support occupations,Men,1000,2019
1788,"Farming, fishing, and forestry occupations",Men,0,2019
1789,Construction and extraction occupations,Men,3000,2019
1790,"Installation, maintenance, and repair occupations",Men,0,2019
1791,Production occupations,Men,0,2019
1792,Transportation and material moving occupations,Men,6000,2019
1793,"Manage-ment, business, and financial operations occupations",Men,645000,2019
1794,Professional and related occupations,Men,905000,2019
1795,Protective service occupations,Men,1529000,2019
1796,"Service occupations, except protective",Men,150000,2019
1797,Sales and related occupations,Men,18000,2019
1798,Office and administrative support occupations,Men,267000,2019
1799,"Farming, fishing, and forestry occupations",Men,9000,2019
1800,Construction and extraction occupations,Men,103000,2019
1801,"Installation, maintenance, and repair occupations",Men,149000,2019
1802,Production occupations,Men,54000,2019
1803,Transportation and material moving occupations,Men,92000,2019
1826,"Manage-ment, business, and financial operations occupations",Women,263000,2019
1827,Professional and related occupations,Women,14000,2019
1828,Protective service occupations,Women,3000,2019
1829,"Service occupations, except protective",Women,36000,2019
1830,Sales and related occupations,Women,9000,2019
1831,Office and administrative support occupations,Women,67000,2019
1832,"Farming, fishing, and forestry occupations",Women,219000,2019
1833,Construction and extraction occupations,Women,0,2019
1834,"Installation, maintenance, and repair occupations",Women,0,2019
1835,Production occupations,Women,6000,2019
1836,Transportation and material moving occupations,Women,18000,2019
1837,"Manage-ment, business, and financial operations occupations",Women,41000,2019
1838,Professional and related occupations,Women,23000,2019
1839,Protective service occupations,Women,0,2019
1840,"Service occupations, except protective",Women,3000,2019
1841,Sales and related occupations,Women,3000,2019
1842,Office and administrative support occupations,Women,36000,2019
1843,"Farming, fishing, and forestry occupations",Women,0,2019
1844,Construction and extraction occupations,Women,8000,2019
1845,"Installation, maintenance, and repair occupations",Women,1000,2019
1846,Production occupations,Women,1000,2019
1847,Transportation and material moving occupations,Women,2000,2019
1848,"Manage-ment, business, and financial operations occupations",Women,363000,2019
1849,Professional and related occupations,Women,55000,2019
1850,Protective service occupations,Women,6000,2019
1851,"Service occupations, except protective",Women,6000,2019
1852,Sales and related occupations,Women,35000,2019
1853,Office and administrative support occupations,Women,446000,2019
1854,"Farming, fishing, and forestry occupations",Women,0,2019
1855,Construction and extraction occupations,Women,222000,2019
1856,"Installation, maintenance, and repair occupations",Women,17000,2019
1857,Production occupations,Women,8000,2019
1858,Transportation and material moving occupations,Women,9000,2019
1859,"Manage-ment, business, and financial operations occupations",Women,979000,2019
1860,Professional and related occupations,Women,523000,2019
1861,Protective service occupations,Women,4000,2019
1862,"Service occupations, except protective",Women,73000,2019
1863,Sales and related occupations,Women,211000,2019
1864,Office and administrative support occupations,Women,765000,2019
1865,"Farming, fishing, and forestry occupations",Women,28000,2019
1866,Construction and extraction occupations,Women,17000,2019
1867,"Installation, maintenance, and repair occupations",Women,33000,2019
1868,Production occupations,Women,1728000,2019
1869,Transportation and material moving occupations,Women,269000,2019
1870,"Manage-ment, business, and financial operations occupations",Women,550000,2019
1871,Professional and related occupations,Women,304000,2019
1872,Protective service occupations,Women,1000,2019
1873,"Service occupations, except protective",Women,25000,2019
1874,Sales and related occupations,Women,95000,2019
1875,Office and administrative support occupations,Women,452000,2019
1876,"Farming, fishing, and forestry occupations",Women,0,2019
1877,Construction and extraction occupations,Women,13000,2019
1878,"Installation, maintenance, and repair occupations",Women,23000,2019
1879,Production occupations,Women,926000,2019
1880,Transportation and material moving occupations,Women,116000,2019
1881,"Manage-ment, business, and financial operations occupations",Women,429000,2019
1882,Professional and related occupations,Women,220000,2019
1883,Protective service occupations,Women,3000,2019
1884,"Service occupations, except protective",Women,48000,2019
1885,Sales and related occupations,Women,116000,2019
1886,Office and administrative support occupations,Women,313000,2019
1887,"Farming, fishing, and forestry occupations",Women,28000,2019
1888,Construction and extraction occupations,Women,4000,2019
1889,"Installation, maintenance, and repair occupations",Women,10000,2019
1890,Production occupations,Women,802000,2019
1891,Transportation and material moving occupations,Women,153000,2019
1892,"Manage-ment, business, and financial operations occupations",Women,619000,2019
1893,Professional and related occupations,Women,640000,2019
1894,Protective service occupations,Women,20000,2019
1895,"Service occupations, except protective",Women,355000,2019
1896,Sales and related occupations,Women,4720000,2019
1897,Office and administrative support occupations,Women,1719000,2019
1898,"Farming, fishing, and forestry occupations",Women,30000,2019
1899,Construction and extraction occupations,Women,6000,2019
1900,"Installation, maintenance, and repair occupations",Women,23000,2019
1901,Production occupations,Women,204000,2019
1902,Transportation and material moving occupations,Women,393000,2019
1903,"Manage-ment, business, and financial operations occupations",Women,172000,2019
1904,Professional and related occupations,Women,60000,2019
1905,Protective service occupations,Women,2000,2019
1906,"Service occupations, except protective",Women,16000,2019
1907,Sales and related occupations,Women,305000,2019
1908,Office and administrative support occupations,Women,304000,2019
1909,"Farming, fishing, and forestry occupations",Women,21000,2019
1910,Construction and extraction occupations,Women,0,2019
1911,"Installation, maintenance, and repair occupations",Women,6000,2019
1912,Production occupations,Women,24000,2019
1913,Transportation and material moving occupations,Women,96000,2019
1914,"Manage-ment, business, and financial operations occupations",Women,447000,2019
1915,Professional and related occupations,Women,580000,2019
1916,Protective service occupations,Women,18000,2019
1917,"Service occupations, except protective",Women,339000,2019
1918,Sales and related occupations,Women,4415000,2019
1919,Office and administrative support occupations,Women,1416000,2019
1920,"Farming, fishing, and forestry occupations",Women,8000,2019
1921,Construction and extraction occupations,Women,5000,2019
1922,"Installation, maintenance, and repair occupations",Women,17000,2019
1923,Production occupations,Women,180000,2019
1924,Transportation and material moving occupations,Women,296000,2019
1925,"Manage-ment, business, and financial operations occupations",Women,302000,2019
1926,Professional and related occupations,Women,94000,2019
1927,Protective service occupations,Women,6000,2019
1928,"Service occupations, except protective",Women,53000,2019
1929,Sales and related occupations,Women,44000,2019
1930,Office and administrative support occupations,Women,885000,2019
1931,"Farming, fishing, and forestry occupations",Women,2000,2019
1932,Construction and extraction occupations,Women,4000,2019
1933,"Installation, maintenance, and repair occupations",Women,7000,2019
1934,Production occupations,Women,70000,2019
1935,Transportation and material moving occupations,Women,699000,2019
1936,"Manage-ment, business, and financial operations occupations",Women,257000,2019
1937,Professional and related occupations,Women,411000,2019
1938,Protective service occupations,Women,3000,2019
1939,"Service occupations, except protective",Women,31000,2019
1940,Sales and related occupations,Women,112000,2019
1941,Office and administrative support occupations,Women,269000,2019
1942,"Farming, fishing, and forestry occupations",Women,0,2019
1943,Construction and extraction occupations,Women,1000,2019
1944,"Installation, maintenance, and repair occupations",Women,15000,2019
1945,Production occupations,Women,11000,2019
1946,Transportation and material moving occupations,Women,10000,2019
1947,"Manage-ment, business, and financial operations occupations",Women,2230000,2019
1948,Professional and related occupations,Women,448000,2019
1949,Protective service occupations,Women,24000,2019
1950,"Service occupations, except protective",Women,84000,2019
1951,Sales and related occupations,Women,1201000,2019
1952,Office and administrative support occupations,Women,1619000,2019
1953,"Farming, fishing, and forestry occupations",Women,0,2019
1954,Construction and extraction occupations,Women,7000,2019
1955,"Installation, maintenance, and repair occupations",Women,15000,2019
1956,Production occupations,Women,19000,2019
1957,Transportation and material moving occupations,Women,13000,2019
1958,"Manage-ment, business, and financial operations occupations",Women,2279000,2019
1959,Professional and related occupations,Women,2443000,2019
1960,Protective service occupations,Women,134000,2019
1961,"Service occupations, except protective",Women,1079000,2019
1962,Sales and related occupations,Women,301000,2019
1963,Office and administrative support occupations,Women,1670000,2019
1964,"Farming, fishing, and forestry occupations",Women,2000,2019
1965,Construction and extraction occupations,Women,6000,2019
1966,"Installation, maintenance, and repair occupations",Women,20000,2019
1967,Production occupations,Women,77000,2019
1968,Transportation and material moving occupations,Women,94000,2019
1969,"Manage-ment, business, and financial operations occupations",Women,2411000,2019
1970,Professional and related occupations,Women,14880000,2019
1971,Protective service occupations,Women,52000,2019
1972,"Service occupations, except protective",Women,5979000,2019
1973,Sales and related occupations,Women,79000,2019
1974,Office and administrative support occupations,Women,3129000,2019
1975,"Farming, fishing, and forestry occupations",Women,2000,2019
1976,Construction and extraction occupations,Women,9000,2019
1977,"Installation, maintenance, and repair occupations",Women,15000,2019
1978,Production occupations,Women,108000,2019
1979,Transportation and material moving occupations,Women,177000,2019
1980,"Manage-ment, business, and financial operations occupations",Women,1006000,2019
1981,Professional and related occupations,Women,450000,2019
1982,Protective service occupations,Women,64000,2019
1983,"Service occupations, except protective",Women,4513000,2019
1984,Sales and related occupations,Women,771000,2019
1985,Office and administrative support occupations,Women,540000,2019
1986,"Farming, fishing, and forestry occupations",Women,2000,2019
1987,Construction and extraction occupations,Women,5000,2019
1988,"Installation, maintenance, and repair occupations",Women,9000,2019
1989,Production occupations,Women,62000,2019
1990,Transportation and material moving occupations,Women,77000,2019
1991,"Manage-ment, business, and financial operations occupations",Women,408000,2019
1992,Professional and related occupations,Women,432000,2019
1993,Protective service occupations,Women,2000,2019
1994,"Service occupations, except protective",Women,2405000,2019
1995,Sales and related occupations,Women,97000,2019
1996,Office and administrative support occupations,Women,546000,2019
1997,"Farming, fishing, and forestry occupations",Women,1000,2019
1998,Construction and extraction occupations,Women,0,2019
1999,"Installation, maintenance, and repair occupations",Women,31000,2019
2000,Production occupations,Women,137000,2019
2001,Transportation and material moving occupations,Women,45000,2019
2002,"Manage-ment, business, and financial operations occupations",Women,403000,2019
2003,Professional and related occupations,Women,428000,2019
2004,Protective service occupations,Women,2000,2019
2005,"Service occupations, except protective",Women,1673000,2019
2006,Sales and related occupations,Women,97000,2019
2007,Office and administrative support occupations,Women,543000,2019
2008,"Farming, fishing, and forestry occupations",Women,1000,2019
2009,Construction and extraction occupations,Women,0,2019
2010,"Installation, maintenance, and repair occupations",Women,31000,2019
2011,Production occupations,Women,135000,2019
2012,Transportation and material moving occupations,Women,44000,2019
2013,"Manage-ment, business, and financial operations occupations",Women,5000,2019
2014,Professional and related occupations,Women,5000,2019
2015,Protective service occupations,Women,0,2019
2016,"Service occupations, except protective",Women,731000,2019
2017,Sales and related occupations,Women,0,2019
2018,Office and administrative support occupations,Women,4000,2019
2019,"Farming, fishing, and forestry occupations",Women,0,2019
2020,Construction and extraction occupations,Women,0,2019
2021,"Installation, maintenance, and repair occupations",Women,0,2019
2022,Production occupations,Women,2000,2019
2023,Transportation and material moving occupations,Women,0,2019
2024,"Manage-ment, business, and financial operations occupations",Women,752000,2019
2025,Professional and related occupations,Women,944000,2019
2026,Protective service occupations,Women,373000,2019
2027,"Service occupations, except protective",Women,225000,2019
2028,Sales and related occupations,Women,19000,2019
2029,Office and administrative support occupations,Women,927000,2019
2030,"Farming, fishing, and forestry occupations",Women,6000,2019
2031,Construction and extraction occupations,Women,5000,2019
2032,"Installation, maintenance, and repair occupations",Women,6000,2019
2033,Production occupations,Women,19000,2019
2034,Transportation and material moving occupations,Women,26000,2019
2959,"Management, business, and financial operations occupations",Men,753000,2018
2960,Professional and related occupations,Men,26000,2018
2961,Protective service occupations,Men,11000,2018
2962,"Service occupations, except protective",Men,52000,2018
2963,Sales and related occupations,Men,12000,2018
2964,Office and administrative support occupations,Men,14000,2018
2965,"Farming, fishing, and forestry occupations",Men,759000,2018
2966,Construction and extraction occupations,Men,14000,2018
2967,"Installation, maintenance, and repair occupations",Men,36000,2018
2968,Production occupations,Men,33000,2018
2969,Transportation and material moving occupations,Men,86000,2018
2970,"Management, business, and financial operations occupations",Men,111000,2018
2971,Professional and related occupations,Men,85000,2018
2972,Protective service occupations,Men,4000,2018
2973,"Service occupations, except protective",Men,8000,2018
2974,Sales and related occupations,Men,10000,2018
2975,Office and administrative support occupations,Men,17000,2018
2976,"Farming, fishing, and forestry occupations",Men,0,2018
2977,Construction and extraction occupations,Men,240000,2018
2978,"Installation, maintenance, and repair occupations",Men,54000,2018
2979,Production occupations,Men,47000,2018
2980,Transportation and material moving occupations,Men,99000,2018
2981,"Management, business, and financial operations occupations",Men,1859000,2018
2982,Professional and related occupations,Men,240000,2018
2983,Protective service occupations,Men,13000,2018
2984,"Service occupations, except protective",Men,36000,2018
2985,Sales and related occupations,Men,98000,2018
2986,Office and administrative support occupations,Men,79000,2018
2987,"Farming, fishing, and forestry occupations",Men,3000,2018
2988,Construction and extraction occupations,Men,6770000,2018
2989,"Installation, maintenance, and repair occupations",Men,575000,2018
2990,Production occupations,Men,182000,2018
2991,Transportation and material moving occupations,Men,226000,2018
2992,"Management, business, and financial operations occupations",Men,1752000,2018
2993,Professional and related occupations,Men,1783000,2018
2994,Protective service occupations,Men,20000,2018
2995,"Service occupations, except protective",Men,151000,2018
2996,Sales and related occupations,Men,380000,2018
2997,Office and administrative support occupations,Men,516000,2018
2998,"Farming, fishing, and forestry occupations",Men,29000,2018
2999,Construction and extraction occupations,Men,301000,2018
3000,"Installation, maintenance, and repair occupations",Men,685000,2018
3001,Production occupations,Men,4336000,2018
3002,Transportation and material moving occupations,Men,1071000,2018
3003,"Management, business, and financial operations occupations",Men,1148000,2018
3004,Professional and related occupations,Men,1347000,2018
3005,Protective service occupations,Men,9000,2018
3006,"Service occupations, except protective",Men,64000,2018
3007,Sales and related occupations,Men,236000,2018
3008,Office and administrative support occupations,Men,318000,2018
3009,"Farming, fishing, and forestry occupations",Men,4000,2018
3010,Construction and extraction occupations,Men,235000,2018
3011,"Installation, maintenance, and repair occupations",Men,424000,2018
3012,Production occupations,Men,2958000,2018
3013,Transportation and material moving occupations,Men,626000,2018
3014,"Management, business, and financial operations occupations",Men,604000,2018
3015,Professional and related occupations,Men,436000,2018
3016,Protective service occupations,Men,10000,2018
3017,"Service occupations, except protective",Men,87000,2018
3018,Sales and related occupations,Men,144000,2018
3019,Office and administrative support occupations,Men,198000,2018
3020,"Farming, fishing, and forestry occupations",Men,25000,2018
3021,Construction and extraction occupations,Men,66000,2018
3022,"Installation, maintenance, and repair occupations",Men,261000,2018
3023,Production occupations,Men,1378000,2018
3024,Transportation and material moving occupations,Men,445000,2018
3025,"Management, business, and financial operations occupations",Men,838000,2018
3026,Professional and related occupations,Men,544000,2018
3027,Protective service occupations,Men,41000,2018
3028,"Service occupations, except protective",Men,286000,2018
3029,Sales and related occupations,Men,5127000,2018
3030,Office and administrative support occupations,Men,1444000,2018
3031,"Farming, fishing, and forestry occupations",Men,24000,2018
3032,Construction and extraction occupations,Men,97000,2018
3033,"Installation, maintenance, and repair occupations",Men,681000,2018
3034,Production occupations,Men,414000,2018
3035,Transportation and material moving occupations,Men,1706000,2018
3036,"Management, business, and financial operations occupations",Men,339000,2018
3037,Professional and related occupations,Men,117000,2018
3038,Protective service occupations,Men,5000,2018
3039,"Service occupations, except protective",Men,29000,2018
3040,Sales and related occupations,Men,999000,2018
3041,Office and administrative support occupations,Men,232000,2018
3042,"Farming, fishing, and forestry occupations",Men,18000,2018
3043,Construction and extraction occupations,Men,27000,2018
3044,"Installation, maintenance, and repair occupations",Men,123000,2018
3045,Production occupations,Men,102000,2018
3046,Transportation and material moving occupations,Men,633000,2018
3047,"Management, business, and financial operations occupations",Men,500000,2018
3048,Professional and related occupations,Men,426000,2018
3049,Protective service occupations,Men,36000,2018
3050,"Service occupations, except protective",Men,257000,2018
3051,Sales and related occupations,Men,4128000,2018
3052,Office and administrative support occupations,Men,1212000,2018
3053,"Farming, fishing, and forestry occupations",Men,6000,2018
3054,Construction and extraction occupations,Men,70000,2018
3055,"Installation, maintenance, and repair occupations",Men,558000,2018
3056,Production occupations,Men,313000,2018
3057,Transportation and material moving occupations,Men,1074000,2018
3058,"Management, business, and financial operations occupations",Men,627000,2018
3059,Professional and related occupations,Men,311000,2018
3060,Protective service occupations,Men,23000,2018
3061,"Service occupations, except protective",Men,104000,2018
3062,Sales and related occupations,Men,81000,2018
3063,Office and administrative support occupations,Men,883000,2018
3064,"Farming, fishing, and forestry occupations",Men,1000,2018
3065,Construction and extraction occupations,Men,181000,2018
3066,"Installation, maintenance, and repair occupations",Men,540000,2018
3067,Production occupations,Men,321000,2018
3068,Transportation and material moving occupations,Men,3396000,2018
3069,"Management, business, and financial operations occupations",Men,373000,2018
3070,Professional and related occupations,Men,753000,2018
3071,Protective service occupations,Men,5000,2018
3072,"Service occupations, except protective",Men,39000,2018
3073,Sales and related occupations,Men,178000,2018
3074,Office and administrative support occupations,Men,113000,2018
3075,"Farming, fishing, and forestry occupations",Men,0,2018
3076,Construction and extraction occupations,Men,14000,2018
3077,"Installation, maintenance, and repair occupations",Men,271000,2018
3078,Production occupations,Men,23000,2018
3079,Transportation and material moving occupations,Men,32000,2018
3080,"Management, business, and financial operations occupations",Men,2272000,2018
3081,Professional and related occupations,Men,576000,2018
3082,Protective service occupations,Men,36000,2018
3083,"Service occupations, except protective",Men,224000,2018
3084,Sales and related occupations,Men,1185000,2018
3085,Office and administrative support occupations,Men,428000,2018
3086,"Farming, fishing, and forestry occupations",Men,0,2018
3087,Construction and extraction occupations,Men,56000,2018
3088,"Installation, maintenance, and repair occupations",Men,152000,2018
3089,Production occupations,Men,23000,2018
3090,Transportation and material moving occupations,Men,99000,2018
3091,"Management, business, and financial operations occupations",Men,2668000,2018
3092,Professional and related occupations,Men,4147000,2018
3093,Protective service occupations,Men,466000,2018
3094,"Service occupations, except protective",Men,1832000,2018
3095,Sales and related occupations,Men,348000,2018
3096,Office and administrative support occupations,Men,531000,2018
3097,"Farming, fishing, and forestry occupations",Men,10000,2018
3098,Construction and extraction occupations,Men,149000,2018
3099,"Installation, maintenance, and repair occupations",Men,268000,2018
3100,Production occupations,Men,198000,2018
3101,Transportation and material moving occupations,Men,462000,2018
3102,"Management, business, and financial operations occupations",Men,1136000,2018
3103,Professional and related occupations,Men,5318000,2018
3104,Protective service occupations,Men,131000,2018
3105,"Service occupations, except protective",Men,1401000,2018
3106,Sales and related occupations,Men,27000,2018
3107,Office and administrative support occupations,Men,373000,2018
3108,"Farming, fishing, and forestry occupations",Men,2000,2018
3109,Construction and extraction occupations,Men,73000,2018
3110,"Installation, maintenance, and repair occupations",Men,195000,2018
3111,Production occupations,Men,82000,2018
3112,Transportation and material moving occupations,Men,247000,2018
3113,"Management, business, and financial operations occupations",Men,1085000,2018
3114,Professional and related occupations,Men,569000,2018
3115,Protective service occupations,Men,144000,2018
3116,"Service occupations, except protective",Men,4077000,2018
3117,Sales and related occupations,Men,272000,2018
3118,Office and administrative support occupations,Men,255000,2018
3119,"Farming, fishing, and forestry occupations",Men,4000,2018
3120,Construction and extraction occupations,Men,39000,2018
3121,"Installation, maintenance, and repair occupations",Men,105000,2018
3122,Production occupations,Men,65000,2018
3123,Transportation and material moving occupations,Men,305000,2018
3124,"Management, business, and financial operations occupations",Men,304000,2018
3125,Professional and related occupations,Men,565000,2018
3126,Protective service occupations,Men,17000,2018
3127,"Service occupations, except protective",Men,573000,2018
3128,Sales and related occupations,Men,266000,2018
3129,Office and administrative support occupations,Men,75000,2018
3130,"Farming, fishing, and forestry occupations",Men,2000,2018
3131,Construction and extraction occupations,Men,16000,2018
3132,"Installation, maintenance, and repair occupations",Men,1116000,2018
3133,Production occupations,Men,356000,2018
3134,Transportation and material moving occupations,Men,306000,2018
3135,"Management, business, and financial operations occupations",Men,304000,2018
3136,Professional and related occupations,Men,564000,2018
3137,Protective service occupations,Men,17000,2018
3138,"Service occupations, except protective",Men,531000,2018
3139,Sales and related occupations,Men,266000,2018
3140,Office and administrative support occupations,Men,73000,2018
3141,"Farming, fishing, and forestry occupations",Men,2000,2018
3142,Construction and extraction occupations,Men,15000,2018
3143,"Installation, maintenance, and repair occupations",Men,1115000,2018
3144,Production occupations,Men,356000,2018
3145,Transportation and material moving occupations,Men,299000,2018
3146,"Management, business, and financial operations occupations",Men,0,2018
3147,Professional and related occupations,Men,1000,2018
3148,Protective service occupations,Men,0,2018
3149,"Service occupations, except protective",Men,42000,2018
3150,Sales and related occupations,Men,0,2018
3151,Office and administrative support occupations,Men,2000,2018
3152,"Farming, fishing, and forestry occupations",Men,0,2018
3153,Construction and extraction occupations,Men,0,2018
3154,"Installation, maintenance, and repair occupations",Men,0,2018
3155,Production occupations,Men,0,2018
3156,Transportation and material moving occupations,Men,6000,2018
3157,"Management, business, and financial operations occupations",Men,686000,2018
3158,Professional and related occupations,Men,907000,2018
3159,Protective service occupations,Men,1574000,2018
3160,"Service occupations, except protective",Men,151000,2018
3161,Sales and related occupations,Men,16000,2018
3162,Office and administrative support occupations,Men,281000,2018
3163,"Farming, fishing, and forestry occupations",Men,15000,2018
3164,Construction and extraction occupations,Men,104000,2018
3165,"Installation, maintenance, and repair occupations",Men,147000,2018
3166,Production occupations,Men,59000,2018
3167,Transportation and material moving occupations,Men,85000,2018
3190,"Management, business, and financial operations occupations",Women,278000,2018
3191,Professional and related occupations,Women,15000,2018
3192,Protective service occupations,Women,2000,2018
3193,"Service occupations, except protective",Women,32000,2018
3194,Sales and related occupations,Women,3000,2018
3195,Office and administrative support occupations,Women,69000,2018
3196,"Farming, fishing, and forestry occupations",Women,207000,2018
3197,Construction and extraction occupations,Women,1000,2018
3198,"Installation, maintenance, and repair occupations",Women,0,2018
3199,Production occupations,Women,8000,2018
3200,Transportation and material moving occupations,Women,12000,2018
3201,"Management, business, and financial operations occupations",Women,33000,2018
3202,Professional and related occupations,Women,24000,2018
3203,Protective service occupations,Women,0,2018
3204,"Service occupations, except protective",Women,2000,2018
3205,Sales and related occupations,Women,1000,2018
3206,Office and administrative support occupations,Women,35000,2018
3207,"Farming, fishing, and forestry occupations",Women,0,2018
3208,Construction and extraction occupations,Women,6000,2018
3209,"Installation, maintenance, and repair occupations",Women,1000,2018
3210,Production occupations,Women,3000,2018
3211,Transportation and material moving occupations,Women,3000,2018
3212,"Management, business, and financial operations occupations",Women,290000,2018
3213,Professional and related occupations,Women,62000,2018
3214,Protective service occupations,Women,5000,2018
3215,"Service occupations, except protective",Women,13000,2018
3216,Sales and related occupations,Women,26000,2018
3217,Office and administrative support occupations,Women,464000,2018
3218,"Farming, fishing, and forestry occupations",Women,0,2018
3219,Construction and extraction occupations,Women,222000,2018
3220,"Installation, maintenance, and repair occupations",Women,10000,2018
3221,Production occupations,Women,3000,2018
3222,Transportation and material moving occupations,Women,7000,2018
3223,"Management, business, and financial operations occupations",Women,878000,2018
3224,Professional and related occupations,Women,514000,2018
3225,Protective service occupations,Women,6000,2018
3226,"Service occupations, except protective",Women,87000,2018
3227,Sales and related occupations,Women,222000,2018
3228,Office and administrative support occupations,Women,726000,2018
3229,"Farming, fishing, and forestry occupations",Women,27000,2018
3230,Construction and extraction occupations,Women,12000,2018
3231,"Installation, maintenance, and repair occupations",Women,25000,2018
3232,Production occupations,Women,1767000,2018
3233,Transportation and material moving occupations,Women,273000,2018
3234,"Management, business, and financial operations occupations",Women,513000,2018
3235,Professional and related occupations,Women,302000,2018
3236,Protective service occupations,Women,2000,2018
3237,"Service occupations, except protective",Women,29000,2018
3238,Sales and related occupations,Women,77000,2018
3239,Office and administrative support occupations,Women,465000,2018
3240,"Farming, fishing, and forestry occupations",Women,1000,2018
3241,Construction and extraction occupations,Women,10000,2018
3242,"Installation, maintenance, and repair occupations",Women,17000,2018
3243,Production occupations,Women,915000,2018
3244,Transportation and material moving occupations,Women,131000,2018
3245,"Management, business, and financial operations occupations",Women,365000,2018
3246,Professional and related occupations,Women,211000,2018
3247,Protective service occupations,Women,4000,2018
3248,"Service occupations, except protective",Women,58000,2018
3249,Sales and related occupations,Women,145000,2018
3250,Office and administrative support occupations,Women,262000,2018
3251,"Farming, fishing, and forestry occupations",Women,26000,2018
3252,Construction and extraction occupations,Women,1000,2018
3253,"Installation, maintenance, and repair occupations",Women,8000,2018
3254,Production occupations,Women,853000,2018
3255,Transportation and material moving occupations,Women,141000,2018
3256,"Management, business, and financial operations occupations",Women,618000,2018
3257,Professional and related occupations,Women,666000,2018
3258,Protective service occupations,Women,20000,2018
3259,"Service occupations, except protective",Women,385000,2018
3260,Sales and related occupations,Women,4936000,2018
3261,Office and administrative support occupations,Women,1791000,2018
3262,"Farming, fishing, and forestry occupations",Women,22000,2018
3263,Construction and extraction occupations,Women,3000,2018
3264,"Installation, maintenance, and repair occupations",Women,22000,2018
3265,Production occupations,Women,191000,2018
3266,Transportation and material moving occupations,Women,413000,2018
3267,"Management, business, and financial operations occupations",Women,178000,2018
3268,Professional and related occupations,Women,61000,2018
3269,Protective service occupations,Women,0,2018
3270,"Service occupations, except protective",Women,22000,2018
3271,Sales and related occupations,Women,298000,2018
3272,Office and administrative support occupations,Women,325000,2018
3273,"Farming, fishing, and forestry occupations",Women,15000,2018
3274,Construction and extraction occupations,Women,0,2018
3275,"Installation, maintenance, and repair occupations",Women,3000,2018
3276,Production occupations,Women,31000,2018
3277,Transportation and material moving occupations,Women,115000,2018
3278,"Management, business, and financial operations occupations",Women,440000,2018
3279,Professional and related occupations,Women,605000,2018
3280,Protective service occupations,Women,19000,2018
3281,"Service occupations, except protective",Women,363000,2018
3282,Sales and related occupations,Women,4638000,2018
3283,Office and administrative support occupations,Women,1466000,2018
3284,"Farming, fishing, and forestry occupations",Women,7000,2018
3285,Construction and extraction occupations,Women,3000,2018
3286,"Installation, maintenance, and repair occupations",Women,19000,2018
3287,Production occupations,Women,160000,2018
3288,Transportation and material moving occupations,Women,298000,2018
3289,"Management, business, and financial operations occupations",Women,284000,2018
3290,Professional and related occupations,Women,107000,2018
3291,Protective service occupations,Women,7000,2018
3292,"Service occupations, except protective",Women,60000,2018
3293,Sales and related occupations,Women,49000,2018
3294,Office and administrative support occupations,Women,845000,2018
3295,"Farming, fishing, and forestry occupations",Women,0,2018
3296,Construction and extraction occupations,Women,5000,2018
3297,"Installation, maintenance, and repair occupations",Women,20000,2018
3298,Production occupations,Women,57000,2018
3299,Transportation and material moving occupations,Women,648000,2018
3300,"Management, business, and financial operations occupations",Women,238000,2018
3301,Professional and related occupations,Women,406000,2018
3302,Protective service occupations,Women,1000,2018
3303,"Service occupations, except protective",Women,28000,2018
3304,Sales and related occupations,Women,141000,2018
3305,Office and administrative support occupations,Women,267000,2018
3306,"Farming, fishing, and forestry occupations",Women,0,2018
3307,Construction and extraction occupations,Women,0,2018
3308,"Installation, maintenance, and repair occupations",Women,20000,2018
3309,Production occupations,Women,10000,2018
3310,Transportation and material moving occupations,Women,7000,2018
3311,"Management, business, and financial operations occupations",Women,2226000,2018
3312,Professional and related occupations,Women,391000,2018
3313,Protective service occupations,Women,18000,2018
3314,"Service occupations, except protective",Women,85000,2018
3315,Sales and related occupations,Women,1197000,2018
3316,Office and administrative support occupations,Women,1632000,2018
3317,"Farming, fishing, and forestry occupations",Women,0,2018
3318,Construction and extraction occupations,Women,6000,2018
3319,"Installation, maintenance, and repair occupations",Women,9000,2018
3320,Production occupations,Women,20000,2018
3321,Transportation and material moving occupations,Women,15000,2018
3322,"Management, business, and financial operations occupations",Women,2110000,2018
3323,Professional and related occupations,Women,2362000,2018
3324,Protective service occupations,Women,156000,2018
3325,"Service occupations, except protective",Women,1077000,2018
3326,Sales and related occupations,Women,300000,2018
3327,Office and administrative support occupations,Women,1619000,2018
3328,"Farming, fishing, and forestry occupations",Women,3000,2018
3329,Construction and extraction occupations,Women,12000,2018
3330,"Installation, maintenance, and repair occupations",Women,14000,2018
3331,Production occupations,Women,105000,2018
3332,Transportation and material moving occupations,Women,114000,2018
3333,"Management, business, and financial operations occupations",Women,2245000,2018
3334,Professional and related occupations,Women,14388000,2018
3335,Protective service occupations,Women,53000,2018
3336,"Service occupations, except protective",Women,5838000,2018
3337,Sales and related occupations,Women,82000,2018
3338,Office and administrative support occupations,Women,3152000,2018
3339,"Farming, fishing, and forestry occupations",Women,2000,2018
3340,Construction and extraction occupations,Women,5000,2018
3341,"Installation, maintenance, and repair occupations",Women,21000,2018
3342,Production occupations,Women,99000,2018
3343,Transportation and material moving occupations,Women,174000,2018
