occupation,race,employee_new,year
"Installation, maintenance, and repair occupations",Black or African American,51000,2019
Production occupations,Black or African American,66000,2019
Transportation and material moving occupations,Black or African American,1041000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,57000,2019
Professional and related occupations,Black or African American,88000,2019
Protective service occupations,Black or African American,4000,2019
"Service occupations, except protective",Black or African American,13000,2019
Sales and related occupations,Black or African American,36000,2019
Office and administrative support occupations,Black or African American,63000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,1000,2019
"Installation, maintenance, and repair occupations",Black or African American,38000,2019
Production occupations,Black or African American,3000,2019
Transportation and material moving occupations,Black or African American,8000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,432000,2019
Professional and related occupations,Black or African American,90000,2019
Protective service occupations,Black or African American,12000,2019
"Service occupations, except protective",Black or African American,49000,2019
Sales and related occupations,Black or African American,201000,2019
Office and administrative support occupations,Black or African American,293000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,8000,2019
"Installation, maintenance, and repair occupations",Black or African American,25000,2019
Production occupations,Black or African American,4000,2019
Transportation and material moving occupations,Black or African American,16000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,378000,2019
Professional and related occupations,Black or African American,475000,2019
Protective service occupations,Black or African American,200000,2019
"Service occupations, except protective",Black or African American,318000,2019
Sales and related occupations,Black or African American,61000,2019
Office and administrative support occupations,Black or African American,321000,2019
"Farming, fishing, and forestry occupations",Black or African American,3000,2019
Construction and extraction occupations,Black or African American,15000,2019
"Installation, maintenance, and repair occupations",Black or African American,30000,2019
Production occupations,Black or African American,39000,2019
Transportation and material moving occupations,Black or African American,117000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,452000,2019
Professional and related occupations,Black or African American,2398000,2019
Protective service occupations,Black or African American,41000,2019
"Service occupations, except protective",Black or African American,1851000,2019
Sales and related occupations,Black or African American,18000,2019
Office and administrative support occupations,Black or African American,500000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,12000,2019
"Installation, maintenance, and repair occupations",Black or African American,26000,2019
Production occupations,Black or African American,22000,2019
Transportation and material moving occupations,Black or African American,98000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,204000,2019
Professional and related occupations,Black or African American,97000,2019
Protective service occupations,Black or African American,27000,2019
"Service occupations, except protective",Black or African American,1166000,2019
Sales and related occupations,Black or African American,225000,2019
Office and administrative support occupations,Black or African American,105000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,1000,2019
"Installation, maintenance, and repair occupations",Black or African American,11000,2019
Production occupations,Black or African American,27000,2019
Transportation and material moving occupations,Black or African American,51000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,69000,2019
Professional and related occupations,Black or African American,121000,2019
Protective service occupations,Black or African American,2000,2019
"Service occupations, except protective",Black or African American,351000,2019
Sales and related occupations,Black or African American,40000,2019
Office and administrative support occupations,Black or African American,62000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,4000,2019
"Installation, maintenance, and repair occupations",Black or African American,79000,2019
Production occupations,Black or African American,47000,2019
Transportation and material moving occupations,Black or African American,36000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,69000,2019
Professional and related occupations,Black or African American,118000,2019
Protective service occupations,Black or African American,2000,2019
"Service occupations, except protective",Black or African American,252000,2019
Sales and related occupations,Black or African American,40000,2019
Office and administrative support occupations,Black or African American,62000,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,2000,2019
"Installation, maintenance, and repair occupations",Black or African American,79000,2019
Production occupations,Black or African American,47000,2019
Transportation and material moving occupations,Black or African American,36000,2019
"Manage-ment, business, and financial operations occupations",Black or African American,0,2019
Professional and related occupations,Black or African American,2000,2019
Protective service occupations,Black or African American,0,2019
"Service occupations, except protective",Black or African American,99000,2019
Sales and related occupations,Black or African American,0,2019
Office and administrative support occupations,Black or African American,0,2019
"Farming, fishing, and forestry occupations",Black or African American,0,2019
Construction and extraction occupations,Black or African American,1000,2019
"Installation, maintenance, and repair occupations",Black or African American,0,2019
Production occupations,Black or African American,0,2019
Transportation and material moving occupations,Black or African American,0,2019
"Manage-ment, business, and financial operations occupations",Black or African American,224000,2019
Professional and related occupations,Black or African American,337000,2019
Protective service occupations,Black or African American,325000,2019
"Service occupations, except protective",Black or African American,63000,2019
Sales and related occupations,Black or African American,8000,2019
Office and administrative support occupations,Black or African American,224000,2019
"Farming, fishing, and forestry occupations",Black or African American,2000,2019
Construction and extraction occupations,Black or African American,14000,2019
"Installation, maintenance, and repair occupations",Black or African American,18000,2019
Production occupations,Black or African American,14000,2019
Transportation and material moving occupations,Black or African American,34000,2019
"Manage-ment, business, and financial operations occupations",Asian,10000,2019
Professional and related occupations,Asian,1000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,1000,2019
Sales and related occupations,Asian,0,2019
Office and administrative support occupations,Asian,5000,2019
"Farming, fishing, and forestry occupations",Asian,17000,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,1000,2019
Production occupations,Asian,1000,2019
Transportation and material moving occupations,Asian,4000,2019
"Manage-ment, business, and financial operations occupations",Asian,3000,2019
Professional and related occupations,Asian,19000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,0,2019
Sales and related occupations,Asian,0,2019
Office and administrative support occupations,Asian,5000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,1000,2019
"Installation, maintenance, and repair occupations",Asian,0,2019
Production occupations,Asian,0,2019
Transportation and material moving occupations,Asian,0,2019
"Manage-ment, business, and financial operations occupations",Asian,65000,2019
Professional and related occupations,Asian,21000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,1000,2019
Sales and related occupations,Asian,1000,2019
Office and administrative support occupations,Asian,9000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,98000,2019
"Installation, maintenance, and repair occupations",Asian,17000,2019
Production occupations,Asian,4000,2019
Transportation and material moving occupations,Asian,2000,2019
"Manage-ment, business, and financial operations occupations",Asian,194000,2019
Professional and related occupations,Asian,354000,2019
Protective service occupations,Asian,3000,2019
"Service occupations, except protective",Asian,10000,2019
Sales and related occupations,Asian,25000,2019
Office and administrative support occupations,Asian,51000,2019
"Farming, fishing, and forestry occupations",Asian,1000,2019
Construction and extraction occupations,Asian,6000,2019
"Installation, maintenance, and repair occupations",Asian,20000,2019
Production occupations,Asian,368000,2019
Transportation and material moving occupations,Asian,37000,2019
"Manage-ment, business, and financial operations occupations",Asian,130000,2019
Professional and related occupations,Asian,264000,2019
Protective service occupations,Asian,3000,2019
"Service occupations, except protective",Asian,5000,2019
Sales and related occupations,Asian,15000,2019
Office and administrative support occupations,Asian,26000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,5000,2019
"Installation, maintenance, and repair occupations",Asian,16000,2019
Production occupations,Asian,246000,2019
Transportation and material moving occupations,Asian,15000,2019
"Manage-ment, business, and financial operations occupations",Asian,64000,2019
Professional and related occupations,Asian,90000,2019
Protective service occupations,Asian,1000,2019
"Service occupations, except protective",Asian,5000,2019
Sales and related occupations,Asian,10000,2019
Office and administrative support occupations,Asian,25000,2019
"Farming, fishing, and forestry occupations",Asian,1000,2019
Construction and extraction occupations,Asian,1000,2019
"Installation, maintenance, and repair occupations",Asian,4000,2019
Production occupations,Asian,121000,2019
Transportation and material moving occupations,Asian,22000,2019
"Manage-ment, business, and financial operations occupations",Asian,103000,2019
Professional and related occupations,Asian,157000,2019
Protective service occupations,Asian,2000,2019
"Service occupations, except protective",Asian,38000,2019
Sales and related occupations,Asian,504000,2019
Office and administrative support occupations,Asian,174000,2019
"Farming, fishing, and forestry occupations",Asian,3000,2019
Construction and extraction occupations,Asian,2000,2019
"Installation, maintenance, and repair occupations",Asian,19000,2019
Production occupations,Asian,35000,2019
Transportation and material moving occupations,Asian,82000,2019
"Manage-ment, business, and financial operations occupations",Asian,37000,2019
Professional and related occupations,Asian,20000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,2000,2019
Sales and related occupations,Asian,67000,2019
Office and administrative support occupations,Asian,32000,2019
"Farming, fishing, and forestry occupations",Asian,3000,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,2000,2019
Production occupations,Asian,4000,2019
Transportation and material moving occupations,Asian,22000,2019
"Manage-ment, business, and financial operations occupations",Asian,66000,2019
Professional and related occupations,Asian,137000,2019
Protective service occupations,Asian,2000,2019
"Service occupations, except protective",Asian,36000,2019
Sales and related occupations,Asian,437000,2019
Office and administrative support occupations,Asian,142000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,2000,2019
"Installation, maintenance, and repair occupations",Asian,18000,2019
Production occupations,Asian,31000,2019
Transportation and material moving occupations,Asian,61000,2019
"Manage-ment, business, and financial operations occupations",Asian,50000,2019
Professional and related occupations,Asian,57000,2019
Protective service occupations,Asian,1000,2019
"Service occupations, except protective",Asian,10000,2019
Sales and related occupations,Asian,7000,2019
Office and administrative support occupations,Asian,111000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,5000,2019
"Installation, maintenance, and repair occupations",Asian,17000,2019
Production occupations,Asian,21000,2019
Transportation and material moving occupations,Asian,220000,2019
"Manage-ment, business, and financial operations occupations",Asian,47000,2019
Professional and related occupations,Asian,151000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,0,2019
Sales and related occupations,Asian,12000,2019
Office and administrative support occupations,Asian,14000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,5000,2019
Production occupations,Asian,4000,2019
Transportation and material moving occupations,Asian,1000,2019
"Manage-ment, business, and financial operations occupations",Asian,360000,2019
Professional and related occupations,Asian,188000,2019
Protective service occupations,Asian,3000,2019
"Service occupations, except protective",Asian,13000,2019
Sales and related occupations,Asian,131000,2019
Office and administrative support occupations,Asian,95000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,5000,2019
"Installation, maintenance, and repair occupations",Asian,7000,2019
Production occupations,Asian,2000,2019
Transportation and material moving occupations,Asian,2000,2019
"Manage-ment, business, and financial operations occupations",Asian,568000,2019
Professional and related occupations,Asian,1060000,2019
Protective service occupations,Asian,18000,2019
"Service occupations, except protective",Asian,51000,2019
Sales and related occupations,Asian,29000,2019
Office and administrative support occupations,Asian,109000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,6000,2019
"Installation, maintenance, and repair occupations",Asian,10000,2019
Production occupations,Asian,18000,2019
Transportation and material moving occupations,Asian,17000,2019
"Manage-ment, business, and financial operations occupations",Asian,191000,2019
Professional and related occupations,Asian,1498000,2019
Protective service occupations,Asian,7000,2019
"Service occupations, except protective",Asian,381000,2019
Sales and related occupations,Asian,5000,2019
Office and administrative support occupations,Asian,180000,2019
"Farming, fishing, and forestry occupations",Asian,1000,2019
Construction and extraction occupations,Asian,2000,2019
"Installation, maintenance, and repair occupations",Asian,16000,2019
Production occupations,Asian,7000,2019
Transportation and material moving occupations,Asian,8000,2019
"Manage-ment, business, and financial operations occupations",Asian,174000,2019
Professional and related occupations,Asian,37000,2019
Protective service occupations,Asian,3000,2019
"Service occupations, except protective",Asian,599000,2019
Sales and related occupations,Asian,93000,2019
Office and administrative support occupations,Asian,61000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,3000,2019
"Installation, maintenance, and repair occupations",Asian,1000,2019
Production occupations,Asian,13000,2019
Transportation and material moving occupations,Asian,21000,2019
"Manage-ment, business, and financial operations occupations",Asian,33000,2019
Professional and related occupations,Asian,47000,2019
Protective service occupations,Asian,1000,2019
"Service occupations, except protective",Asian,399000,2019
Sales and related occupations,Asian,27000,2019
Office and administrative support occupations,Asian,35000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,48000,2019
Production occupations,Asian,41000,2019
Transportation and material moving occupations,Asian,8000,2019
"Manage-ment, business, and financial operations occupations",Asian,33000,2019
Professional and related occupations,Asian,46000,2019
Protective service occupations,Asian,1000,2019
"Service occupations, except protective",Asian,371000,2019
Sales and related occupations,Asian,27000,2019
Office and administrative support occupations,Asian,34000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,48000,2019
Production occupations,Asian,41000,2019
Transportation and material moving occupations,Asian,8000,2019
"Manage-ment, business, and financial operations occupations",Asian,0,2019
Professional and related occupations,Asian,1000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,28000,2019
Sales and related occupations,Asian,0,2019
Office and administrative support occupations,Asian,1000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,0,2019
Production occupations,Asian,0,2019
Transportation and material moving occupations,Asian,0,2019
"Manage-ment, business, and financial operations occupations",Asian,79000,2019
Professional and related occupations,Asian,134000,2019
Protective service occupations,Asian,31000,2019
"Service occupations, except protective",Asian,32000,2019
Sales and related occupations,Asian,1000,2019
Office and administrative support occupations,Asian,47000,2019
"Farming, fishing, and forestry occupations",Asian,1000,2019
Construction and extraction occupations,Asian,4000,2019
"Installation, maintenance, and repair occupations",Asian,2000,2019
Production occupations,Asian,2000,2019
Transportation and material moving occupations,Asian,6000,2019
"Management, business, and financial operations occupations",White,989000,2018
Professional and related occupations,White,36000,2018
Protective service occupations,White,13000,2018
"Service occupations, except protective",White,79000,2018
Sales and related occupations,White,15000,2018
Office and administrative support occupations,White,79000,2018
"Farming, fishing, and forestry occupations",White,883000,2018
Construction and extraction occupations,White,12000,2018
"Installation, maintenance, and repair occupations",White,30000,2018
Production occupations,White,32000,2018
Transportation and material moving occupations,White,83000,2018
"Management, business, and financial operations occupations",White,126000,2018
Professional and related occupations,White,94000,2018
Protective service occupations,White,3000,2018
"Service occupations, except protective",White,9000,2018
Sales and related occupations,White,10000,2018
Office and administrative support occupations,White,44000,2018
"Farming, fishing, and forestry occupations",White,0,2018
Construction and extraction occupations,White,222000,2018
"Installation, maintenance, and repair occupations",White,47000,2018
Production occupations,White,43000,2018
Transportation and material moving occupations,White,85000,2018
"Management, business, and financial operations occupations",White,1977000,2018
Professional and related occupations,White,262000,2018
Protective service occupations,White,12000,2018
"Service occupations, except protective",White,45000,2018
Sales and related occupations,White,118000,2018
Office and administrative support occupations,White,490000,2018
"Farming, fishing, and forestry occupations",White,2000,2018
Construction and extraction occupations,White,6142000,2018
"Installation, maintenance, and repair occupations",White,490000,2018
Production occupations,White,155000,2018
Transportation and material moving occupations,White,195000,2018
"Management, business, and financial operations occupations",White,2240000,2018
Professional and related occupations,White,1772000,2018
Protective service occupations,White,21000,2018
"Service occupations, except protective",White,181000,2018
Sales and related occupations,White,538000,2018
Office and administrative support occupations,White,1020000,2018
"Farming, fishing, and forestry occupations",White,46000,2018
Construction and extraction occupations,White,265000,2018
"Installation, maintenance, and repair occupations",White,614000,2018
Production occupations,White,4656000,2018
Transportation and material moving occupations,White,1012000,2018
"Management, business, and financial operations occupations",White,1427000,2018
Professional and related occupations,White,1273000,2018
Protective service occupations,White,11000,2018
"Service occupations, except protective",White,76000,2018
Sales and related occupations,White,283000,2018
Office and administrative support occupations,White,650000,2018
"Farming, fishing, and forestry occupations",White,4000,2018
Construction and extraction occupations,White,207000,2018
"Installation, maintenance, and repair occupations",White,372000,2018
Production occupations,White,3001000,2018
Transportation and material moving occupations,White,591000,2018
"Management, business, and financial operations occupations",White,813000,2018
Professional and related occupations,White,499000,2018
Protective service occupations,White,10000,2018
"Service occupations, except protective",White,106000,2018
Sales and related occupations,White,255000,2018
Office and administrative support occupations,White,370000,2018
"Farming, fishing, and forestry occupations",White,42000,2018
Construction and extraction occupations,White,58000,2018
"Installation, maintenance, and repair occupations",White,242000,2018
Production occupations,White,1655000,2018
Transportation and material moving occupations,White,421000,2018
"Management, business, and financial operations occupations",White,1211000,2018
Professional and related occupations,White,909000,2018
Protective service occupations,White,46000,2018
"Service occupations, except protective",White,491000,2018
Sales and related occupations,White,8007000,2018
Office and administrative support occupations,White,2473000,2018
"Farming, fishing, and forestry occupations",White,40000,2018
Construction and extraction occupations,White,87000,2018
"Installation, maintenance, and repair occupations",White,600000,2018
Production occupations,White,468000,2018
Transportation and material moving occupations,White,1615000,2018
"Management, business, and financial operations occupations",White,438000,2018
Professional and related occupations,White,137000,2018
Protective service occupations,White,4000,2018
"Service occupations, except protective",White,39000,2018
Sales and related occupations,White,1150000,2018
Office and administrative support occupations,White,444000,2018
"Farming, fishing, and forestry occupations",White,29000,2018
Construction and extraction occupations,White,25000,2018
"Installation, maintenance, and repair occupations",White,109000,2018
Production occupations,White,100000,2018
Transportation and material moving occupations,White,579000,2018
"Management, business, and financial operations occupations",White,774000,2018
Professional and related occupations,White,772000,2018
Protective service occupations,White,42000,2018
"Service occupations, except protective",White,452000,2018
Sales and related occupations,White,6857000,2018
Office and administrative support occupations,White,2029000,2018
"Farming, fishing, and forestry occupations",White,11000,2018
Construction and extraction occupations,White,62000,2018
"Installation, maintenance, and repair occupations",White,492000,2018
Production occupations,White,367000,2018
Transportation and material moving occupations,White,1035000,2018
"Management, business, and financial operations occupations",White,737000,2018
Professional and related occupations,White,321000,2018
Protective service occupations,White,22000,2018
"Service occupations, except protective",White,92000,2018
Sales and related occupations,White,100000,2018
Office and administrative support occupations,White,1197000,2018
"Farming, fishing, and forestry occupations",White,1000,2018
Construction and extraction occupations,White,163000,2018
"Installation, maintenance, and repair occupations",White,468000,2018
Production occupations,White,295000,2018
Transportation and material moving occupations,White,2732000,2018
"Management, business, and financial operations occupations",White,489000,2018
Professional and related occupations,White,916000,2018
Protective service occupations,White,6000,2018
"Service occupations, except protective",White,51000,2018
Sales and related occupations,White,249000,2018
Office and administrative support occupations,White,272000,2018
"Farming, fishing, and forestry occupations",White,0,2018
Construction and extraction occupations,White,13000,2018
"Installation, maintenance, and repair occupations",White,230000,2018
Production occupations,White,27000,2018
Transportation and material moving occupations,White,33000,2018
"Management, business, and financial operations occupations",White,3672000,2018
Professional and related occupations,White,653000,2018
Protective service occupations,White,28000,2018
"Service occupations, except protective",White,238000,2018
Sales and related occupations,White,2005000,2018
Office and administrative support occupations,White,1597000,2018
"Farming, fishing, and forestry occupations",White,0,2018
Construction and extraction occupations,White,53000,2018
"Installation, maintenance, and repair occupations",White,129000,2018
Production occupations,White,31000,2018
Transportation and material moving occupations,White,84000,2018
"Management, business, and financial operations occupations",White,3874000,2018
Professional and related occupations,White,4997000,2018
Protective service occupations,White,355000,2018
"Service occupations, except protective",White,2353000,2018
Sales and related occupations,White,548000,2018
Office and administrative support occupations,White,1657000,2018
"Farming, fishing, and forestry occupations",White,10000,2018
Construction and extraction occupations,White,128000,2018
"Installation, maintenance, and repair occupations",White,235000,2018
Production occupations,White,239000,2018
Transportation and material moving occupations,White,411000,2018
"Management, business, and financial operations occupations",White,2691000,2018
Professional and related occupations,White,15304000,2018
Protective service occupations,White,124000,2018
"Service occupations, except protective",White,4798000,2018
Sales and related occupations,White,87000,2018
Office and administrative support occupations,White,2775000,2018
"Farming, fishing, and forestry occupations",White,4000,2018
Construction and extraction occupations,White,62000,2018
"Installation, maintenance, and repair occupations",White,166000,2018
Production occupations,White,132000,2018
Transportation and material moving occupations,White,318000,2018
"Management, business, and financial operations occupations",White,1617000,2018
Professional and related occupations,White,800000,2018
Protective service occupations,White,153000,2018
"Service occupations, except protective",White,6282000,2018
Sales and related occupations,White,675000,2018
Office and administrative support occupations,White,576000,2018
"Farming, fishing, and forestry occupations",White,6000,2018
Construction and extraction occupations,White,41000,2018
"Installation, maintenance, and repair occupations",White,83000,2018
Production occupations,White,79000,2018
Transportation and material moving occupations,White,286000,2018
"Management, business, and financial operations occupations",White,582000,2018
Professional and related occupations,White,793000,2018
Protective service occupations,White,23000,2018
"Service occupations, except protective",White,2126000,2018
Sales and related occupations,White,298000,2018
Office and administrative support occupations,White,539000,2018
"Farming, fishing, and forestry occupations",White,3000,2018
Construction and extraction occupations,White,15000,2018
"Installation, maintenance, and repair occupations",White,969000,2018
Production occupations,White,388000,2018
Transportation and material moving occupations,White,264000,2018
"Management, business, and financial operations occupations",White,580000,2018
Professional and related occupations,White,790000,2018
Protective service occupations,White,23000,2018
"Service occupations, except protective",White,1496000,2018
Sales and related occupations,White,298000,2018
Office and administrative support occupations,White,536000,2018
"Farming, fishing, and forestry occupations",White,3000,2018
Construction and extraction occupations,White,15000,2018
"Installation, maintenance, and repair occupations",White,969000,2018
Production occupations,White,387000,2018
Transportation and material moving occupations,White,257000,2018
"Management, business, and financial operations occupations",White,2000,2018
Professional and related occupations,White,3000,2018
Protective service occupations,White,0,2018
"Service occupations, except protective",White,629000,2018
Sales and related occupations,White,0,2018
Office and administrative support occupations,White,4000,2018
"Farming, fishing, and forestry occupations",White,0,2018
Construction and extraction occupations,White,0,2018
"Installation, maintenance, and repair occupations",White,0,2018
Production occupations,White,1000,2018
Transportation and material moving occupations,White,7000,2018
"Management, business, and financial operations occupations",White,1104000,2018
Professional and related occupations,White,1390000,2018
Protective service occupations,White,1545000,2018
"Service occupations, except protective",White,246000,2018
Sales and related occupations,White,27000,2018
Office and administrative support occupations,White,895000,2018
"Farming, fishing, and forestry occupations",White,13000,2018
Construction and extraction occupations,White,91000,2018
"Installation, maintenance, and repair occupations",White,119000,2018
Production occupations,White,59000,2018
Transportation and material moving occupations,White,68000,2018
"Management, business, and financial operations occupations",Black or African American,10000,2018
Professional and related occupations,Black or African American,1000,2018
Protective service occupations,Black or African American,0,2018
"Service occupations, except protective",Black or African American,3000,2018
Sales and related occupations,Black or African American,0,2018
Office and administrative support occupations,Black or African American,1000,2018
"Farming, fishing, and forestry occupations",Black or African American,25000,2018
Construction and extraction occupations,Black or African American,2000,2018
"Installation, maintenance, and repair occupations",Black or African American,1000,2018
Production occupations,Black or African American,8000,2018
Transportation and material moving occupations,Black or African American,11000,2018
"Management, business, and financial operations occupations",Black or African American,11000,2018
Professional and related occupations,Black or African American,3000,2018
Protective service occupations,Black or African American,0,2018
"Service occupations, except protective",Black or African American,1000,2018
Sales and related occupations,Black or African American,0,2018
Office and administrative support occupations,Black or African American,6000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,12000,2018
"Installation, maintenance, and repair occupations",Black or African American,3000,2018
Production occupations,Black or African American,6000,2018
Transportation and material moving occupations,Black or African American,8000,2018
"Management, business, and financial operations occupations",Black or African American,65000,2018
Professional and related occupations,Black or African American,22000,2018
Protective service occupations,Black or African American,5000,2018
"Service occupations, except protective",Black or African American,2000,2018
Sales and related occupations,Black or African American,3000,2018
Office and administrative support occupations,Black or African American,25000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,473000,2018
"Installation, maintenance, and repair occupations",Black or African American,52000,2018
Production occupations,Black or African American,14000,2018
Transportation and material moving occupations,Black or African American,28000,2018
"Management, business, and financial operations occupations",Black or African American,135000,2018
Professional and related occupations,Black or African American,139000,2018
Protective service occupations,Black or African American,5000,2018
"Service occupations, except protective",Black or African American,36000,2018
Sales and related occupations,Black or African American,24000,2018
Office and administrative support occupations,Black or African American,119000,2018
"Farming, fishing, and forestry occupations",Black or African American,5000,2018
Construction and extraction occupations,Black or African American,27000,2018
"Installation, maintenance, and repair occupations",Black or African American,57000,2018
Production occupations,Black or African American,848000,2018
Transportation and material moving occupations,Black or African American,231000,2018
"Management, business, and financial operations occupations",Black or African American,66000,2018
Professional and related occupations,Black or African American,83000,2018
Protective service occupations,Black or African American,1000,2018
"Service occupations, except protective",Black or African American,11000,2018
Sales and related occupations,Black or African American,10000,2018
Office and administrative support occupations,Black or African American,69000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,22000,2018
"Installation, maintenance, and repair occupations",Black or African American,40000,2018
Production occupations,Black or African American,495000,2018
Transportation and material moving occupations,Black or African American,116000,2018
"Management, business, and financial operations occupations",Black or African American,69000,2018
Professional and related occupations,Black or African American,56000,2018
Protective service occupations,Black or African American,4000,2018
"Service occupations, except protective",Black or African American,25000,2018
Sales and related occupations,Black or African American,14000,2018
Office and administrative support occupations,Black or African American,50000,2018
"Farming, fishing, and forestry occupations",Black or African American,5000,2018
Construction and extraction occupations,Black or African American,5000,2018
"Installation, maintenance, and repair occupations",Black or African American,17000,2018
Production occupations,Black or African American,352000,2018
Transportation and material moving occupations,Black or African American,115000,2018
"Management, business, and financial operations occupations",Black or African American,107000,2018
Professional and related occupations,Black or African American,107000,2018
Protective service occupations,Black or African American,9000,2018
"Service occupations, except protective",Black or African American,114000,2018
Sales and related occupations,Black or African American,1140000,2018
Office and administrative support occupations,Black or African American,458000,2018
"Farming, fishing, and forestry occupations",Black or African American,2000,2018
Construction and extraction occupations,Black or African American,7000,2018
"Installation, maintenance, and repair occupations",Black or African American,46000,2018
Production occupations,Black or African American,78000,2018
Transportation and material moving occupations,Black or African American,343000,2018
"Management, business, and financial operations occupations",Black or African American,28000,2018
Professional and related occupations,Black or African American,15000,2018
Protective service occupations,Black or African American,0,2018
"Service occupations, except protective",Black or African American,11000,2018
Sales and related occupations,Black or African American,60000,2018
Office and administrative support occupations,Black or African American,64000,2018
"Farming, fishing, and forestry occupations",Black or African American,2000,2018
Construction and extraction occupations,Black or African American,2000,2018
"Installation, maintenance, and repair occupations",Black or African American,6000,2018
Production occupations,Black or African American,22000,2018
Transportation and material moving occupations,Black or African American,119000,2018
"Management, business, and financial operations occupations",Black or African American,79000,2018
Professional and related occupations,Black or African American,92000,2018
Protective service occupations,Black or African American,9000,2018
"Service occupations, except protective",Black or African American,103000,2018
Sales and related occupations,Black or African American,1080000,2018
Office and administrative support occupations,Black or African American,395000,2018
"Farming, fishing, and forestry occupations",Black or African American,1000,2018
Construction and extraction occupations,Black or African American,5000,2018
"Installation, maintenance, and repair occupations",Black or African American,40000,2018
Production occupations,Black or African American,57000,2018
Transportation and material moving occupations,Black or African American,223000,2018
"Management, business, and financial operations occupations",Black or African American,102000,2018
Professional and related occupations,Black or African American,48000,2018
Protective service occupations,Black or African American,7000,2018
"Service occupations, except protective",Black or African American,48000,2018
Sales and related occupations,Black or African American,22000,2018
Office and administrative support occupations,Black or African American,382000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,19000,2018
"Installation, maintenance, and repair occupations",Black or African American,59000,2018
Production occupations,Black or African American,47000,2018
Transportation and material moving occupations,Black or African American,910000,2018
"Management, business, and financial operations occupations",Black or African American,48000,2018
Professional and related occupations,Black or African American,109000,2018
Protective service occupations,Black or African American,0,2018
"Service occupations, except protective",Black or African American,13000,2018
Sales and related occupations,Black or African American,44000,2018
Office and administrative support occupations,Black or African American,74000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,1000,2018
"Installation, maintenance, and repair occupations",Black or African American,41000,2018
Production occupations,Black or African American,5000,2018
Transportation and material moving occupations,Black or African American,4000,2018
"Management, business, and financial operations occupations",Black or African American,384000,2018
Professional and related occupations,Black or African American,94000,2018
Protective service occupations,Black or African American,19000,2018
"Service occupations, except protective",Black or African American,54000,2018
Sales and related occupations,Black or African American,191000,2018
