occupation,race,employee_new,year
"Installation, maintenance, and repair occupations",Black or African American,0,2019
Production occupations,Black or African American,0,2019
Transportation and material moving occupations,Black or African American,0,2019
"Manage-ment, business, and financial operations occupations",Black or African American,224000,2019
Professional and related occupations,Black or African American,337000,2019
Protective service occupations,Black or African American,325000,2019
"Service occupations, except protective",Black or African American,63000,2019
Sales and related occupations,Black or African American,8000,2019
Office and administrative support occupations,Black or African American,224000,2019
"Farming, fishing, and forestry occupations",Black or African American,2000,2019
Construction and extraction occupations,Black or African American,14000,2019
"Installation, maintenance, and repair occupations",Black or African American,18000,2019
Production occupations,Black or African American,14000,2019
Transportation and material moving occupations,Black or African American,34000,2019
"Manage-ment, business, and financial operations occupations",Asian,10000,2019
Professional and related occupations,Asian,1000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,1000,2019
Sales and related occupations,Asian,0,2019
Office and administrative support occupations,Asian,5000,2019
"Farming, fishing, and forestry occupations",Asian,17000,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,1000,2019
Production occupations,Asian,1000,2019
Transportation and material moving occupations,Asian,4000,2019
"Manage-ment, business, and financial operations occupations",Asian,3000,2019
Professional and related occupations,Asian,19000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,0,2019
Sales and related occupations,Asian,0,2019
Office and administrative support occupations,Asian,5000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,1000,2019
"Installation, maintenance, and repair occupations",Asian,0,2019
Production occupations,Asian,0,2019
Transportation and material moving occupations,Asian,0,2019
"Manage-ment, business, and financial operations occupations",Asian,65000,2019
Professional and related occupations,Asian,21000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,1000,2019
Sales and related occupations,Asian,1000,2019
Office and administrative support occupations,Asian,9000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,98000,2019
"Installation, maintenance, and repair occupations",Asian,17000,2019
Production occupations,Asian,4000,2019
Transportation and material moving occupations,Asian,2000,2019
"Manage-ment, business, and financial operations occupations",Asian,194000,2019
Professional and related occupations,Asian,354000,2019
Protective service occupations,Asian,3000,2019
"Service occupations, except protective",Asian,10000,2019
Sales and related occupations,Asian,25000,2019
Office and administrative support occupations,Asian,51000,2019
"Farming, fishing, and forestry occupations",Asian,1000,2019
Construction and extraction occupations,Asian,6000,2019
"Installation, maintenance, and repair occupations",Asian,20000,2019
Production occupations,Asian,368000,2019
Transportation and material moving occupations,Asian,37000,2019
"Manage-ment, business, and financial operations occupations",Asian,130000,2019
Professional and related occupations,Asian,264000,2019
Protective service occupations,Asian,3000,2019
"Service occupations, except protective",Asian,5000,2019
Sales and related occupations,Asian,15000,2019
Office and administrative support occupations,Asian,26000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,5000,2019
"Installation, maintenance, and repair occupations",Asian,16000,2019
Production occupations,Asian,246000,2019
Transportation and material moving occupations,Asian,15000,2019
"Manage-ment, business, and financial operations occupations",Asian,64000,2019
Professional and related occupations,Asian,90000,2019
Protective service occupations,Asian,1000,2019
"Service occupations, except protective",Asian,5000,2019
Sales and related occupations,Asian,10000,2019
Office and administrative support occupations,Asian,25000,2019
"Farming, fishing, and forestry occupations",Asian,1000,2019
Construction and extraction occupations,Asian,1000,2019
"Installation, maintenance, and repair occupations",Asian,4000,2019
Production occupations,Asian,121000,2019
Transportation and material moving occupations,Asian,22000,2019
"Manage-ment, business, and financial operations occupations",Asian,103000,2019
Professional and related occupations,Asian,157000,2019
Protective service occupations,Asian,2000,2019
"Service occupations, except protective",Asian,38000,2019
Sales and related occupations,Asian,504000,2019
Office and administrative support occupations,Asian,174000,2019
"Farming, fishing, and forestry occupations",Asian,3000,2019
Construction and extraction occupations,Asian,2000,2019
"Installation, maintenance, and repair occupations",Asian,19000,2019
Production occupations,Asian,35000,2019
Transportation and material moving occupations,Asian,82000,2019
"Manage-ment, business, and financial operations occupations",Asian,37000,2019
Professional and related occupations,Asian,20000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,2000,2019
Sales and related occupations,Asian,67000,2019
Office and administrative support occupations,Asian,32000,2019
"Farming, fishing, and forestry occupations",Asian,3000,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,2000,2019
Production occupations,Asian,4000,2019
Transportation and material moving occupations,Asian,22000,2019
"Manage-ment, business, and financial operations occupations",Asian,66000,2019
Professional and related occupations,Asian,137000,2019
Protective service occupations,Asian,2000,2019
"Service occupations, except protective",Asian,36000,2019
Sales and related occupations,Asian,437000,2019
Office and administrative support occupations,Asian,142000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,2000,2019
"Installation, maintenance, and repair occupations",Asian,18000,2019
Production occupations,Asian,31000,2019
Transportation and material moving occupations,Asian,61000,2019
"Manage-ment, business, and financial operations occupations",Asian,50000,2019
Professional and related occupations,Asian,57000,2019
Protective service occupations,Asian,1000,2019
"Service occupations, except protective",Asian,10000,2019
Sales and related occupations,Asian,7000,2019
Office and administrative support occupations,Asian,111000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,5000,2019
"Installation, maintenance, and repair occupations",Asian,17000,2019
Production occupations,Asian,21000,2019
Transportation and material moving occupations,Asian,220000,2019
"Manage-ment, business, and financial operations occupations",Asian,47000,2019
Professional and related occupations,Asian,151000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,0,2019
Sales and related occupations,Asian,12000,2019
Office and administrative support occupations,Asian,14000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,5000,2019
Production occupations,Asian,4000,2019
Transportation and material moving occupations,Asian,1000,2019
"Manage-ment, business, and financial operations occupations",Asian,360000,2019
Professional and related occupations,Asian,188000,2019
Protective service occupations,Asian,3000,2019
"Service occupations, except protective",Asian,13000,2019
Sales and related occupations,Asian,131000,2019
Office and administrative support occupations,Asian,95000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,5000,2019
"Installation, maintenance, and repair occupations",Asian,7000,2019
Production occupations,Asian,2000,2019
Transportation and material moving occupations,Asian,2000,2019
"Manage-ment, business, and financial operations occupations",Asian,568000,2019
Professional and related occupations,Asian,1060000,2019
Protective service occupations,Asian,18000,2019
"Service occupations, except protective",Asian,51000,2019
Sales and related occupations,Asian,29000,2019
Office and administrative support occupations,Asian,109000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,6000,2019
"Installation, maintenance, and repair occupations",Asian,10000,2019
Production occupations,Asian,18000,2019
Transportation and material moving occupations,Asian,17000,2019
"Manage-ment, business, and financial operations occupations",Asian,191000,2019
Professional and related occupations,Asian,1498000,2019
Protective service occupations,Asian,7000,2019
"Service occupations, except protective",Asian,381000,2019
Sales and related occupations,Asian,5000,2019
Office and administrative support occupations,Asian,180000,2019
"Farming, fishing, and forestry occupations",Asian,1000,2019
Construction and extraction occupations,Asian,2000,2019
"Installation, maintenance, and repair occupations",Asian,16000,2019
Production occupations,Asian,7000,2019
Transportation and material moving occupations,Asian,8000,2019
"Manage-ment, business, and financial operations occupations",Asian,174000,2019
Professional and related occupations,Asian,37000,2019
Protective service occupations,Asian,3000,2019
"Service occupations, except protective",Asian,599000,2019
Sales and related occupations,Asian,93000,2019
Office and administrative support occupations,Asian,61000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,3000,2019
"Installation, maintenance, and repair occupations",Asian,1000,2019
Production occupations,Asian,13000,2019
Transportation and material moving occupations,Asian,21000,2019
"Manage-ment, business, and financial operations occupations",Asian,33000,2019
Professional and related occupations,Asian,47000,2019
Protective service occupations,Asian,1000,2019
"Service occupations, except protective",Asian,399000,2019
Sales and related occupations,Asian,27000,2019
Office and administrative support occupations,Asian,35000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,48000,2019
Production occupations,Asian,41000,2019
Transportation and material moving occupations,Asian,8000,2019
"Manage-ment, business, and financial operations occupations",Asian,33000,2019
Professional and related occupations,Asian,46000,2019
Protective service occupations,Asian,1000,2019
"Service occupations, except protective",Asian,371000,2019
Sales and related occupations,Asian,27000,2019
Office and administrative support occupations,Asian,34000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,48000,2019
Production occupations,Asian,41000,2019
Transportation and material moving occupations,Asian,8000,2019
"Manage-ment, business, and financial operations occupations",Asian,0,2019
Professional and related occupations,Asian,1000,2019
Protective service occupations,Asian,0,2019
"Service occupations, except protective",Asian,28000,2019
Sales and related occupations,Asian,0,2019
Office and administrative support occupations,Asian,1000,2019
"Farming, fishing, and forestry occupations",Asian,0,2019
Construction and extraction occupations,Asian,0,2019
"Installation, maintenance, and repair occupations",Asian,0,2019
Production occupations,Asian,0,2019
Transportation and material moving occupations,Asian,0,2019
"Manage-ment, business, and financial operations occupations",Asian,79000,2019
Professional and related occupations,Asian,134000,2019
Protective service occupations,Asian,31000,2019
"Service occupations, except protective",Asian,32000,2019
Sales and related occupations,Asian,1000,2019
Office and administrative support occupations,Asian,47000,2019
"Farming, fishing, and forestry occupations",Asian,1000,2019
Construction and extraction occupations,Asian,4000,2019
"Installation, maintenance, and repair occupations",Asian,2000,2019
Production occupations,Asian,2000,2019
Transportation and material moving occupations,Asian,6000,2019
"Management, business, and financial operations occupations",Black or African American,10000,2018
Professional and related occupations,Black or African American,1000,2018
Protective service occupations,Black or African American,0,2018
"Service occupations, except protective",Black or African American,3000,2018
Sales and related occupations,Black or African American,0,2018
Office and administrative support occupations,Black or African American,1000,2018
"Farming, fishing, and forestry occupations",Black or African American,25000,2018
Construction and extraction occupations,Black or African American,2000,2018
"Installation, maintenance, and repair occupations",Black or African American,1000,2018
Production occupations,Black or African American,8000,2018
Transportation and material moving occupations,Black or African American,11000,2018
"Management, business, and financial operations occupations",Black or African American,11000,2018
Professional and related occupations,Black or African American,3000,2018
Protective service occupations,Black or African American,0,2018
"Service occupations, except protective",Black or African American,1000,2018
Sales and related occupations,Black or African American,0,2018
Office and administrative support occupations,Black or African American,6000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,12000,2018
"Installation, maintenance, and repair occupations",Black or African American,3000,2018
Production occupations,Black or African American,6000,2018
Transportation and material moving occupations,Black or African American,8000,2018
"Management, business, and financial operations occupations",Black or African American,65000,2018
Professional and related occupations,Black or African American,22000,2018
Protective service occupations,Black or African American,5000,2018
"Service occupations, except protective",Black or African American,2000,2018
Sales and related occupations,Black or African American,3000,2018
Office and administrative support occupations,Black or African American,25000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,473000,2018
"Installation, maintenance, and repair occupations",Black or African American,52000,2018
Production occupations,Black or African American,14000,2018
Transportation and material moving occupations,Black or African American,28000,2018
"Management, business, and financial operations occupations",Black or African American,135000,2018
Professional and related occupations,Black or African American,139000,2018
Protective service occupations,Black or African American,5000,2018
"Service occupations, except protective",Black or African American,36000,2018
Sales and related occupations,Black or African American,24000,2018
Office and administrative support occupations,Black or African American,119000,2018
"Farming, fishing, and forestry occupations",Black or African American,5000,2018
Construction and extraction occupations,Black or African American,27000,2018
"Installation, maintenance, and repair occupations",Black or African American,57000,2018
Production occupations,Black or African American,848000,2018
Transportation and material moving occupations,Black or African American,231000,2018
"Management, business, and financial operations occupations",Black or African American,66000,2018
Professional and related occupations,Black or African American,83000,2018
Protective service occupations,Black or African American,1000,2018
"Service occupations, except protective",Black or African American,11000,2018
Sales and related occupations,Black or African American,10000,2018
Office and administrative support occupations,Black or African American,69000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,22000,2018
"Installation, maintenance, and repair occupations",Black or African American,40000,2018
Production occupations,Black or African American,495000,2018
Transportation and material moving occupations,Black or African American,116000,2018
"Management, business, and financial operations occupations",Black or African American,69000,2018
Professional and related occupations,Black or African American,56000,2018
Protective service occupations,Black or African American,4000,2018
"Service occupations, except protective",Black or African American,25000,2018
Sales and related occupations,Black or African American,14000,2018
Office and administrative support occupations,Black or African American,50000,2018
"Farming, fishing, and forestry occupations",Black or African American,5000,2018
Construction and extraction occupations,Black or African American,5000,2018
"Installation, maintenance, and repair occupations",Black or African American,17000,2018
Production occupations,Black or African American,352000,2018
Transportation and material moving occupations,Black or African American,115000,2018
"Management, business, and financial operations occupations",Black or African American,107000,2018
Professional and related occupations,Black or African American,107000,2018
Protective service occupations,Black or African American,9000,2018
"Service occupations, except protective",Black or African American,114000,2018
Sales and related occupations,Black or African American,1140000,2018
Office and administrative support occupations,Black or African American,458000,2018
"Farming, fishing, and forestry occupations",Black or African American,2000,2018
Construction and extraction occupations,Black or African American,7000,2018
"Installation, maintenance, and repair occupations",Black or African American,46000,2018
Production occupations,Black or African American,78000,2018
Transportation and material moving occupations,Black or African American,343000,2018
"Management, business, and financial operations occupations",Black or African American,28000,2018
Professional and related occupations,Black or African American,15000,2018
Protective service occupations,Black or African American,0,2018
"Service occupations, except protective",Black or African American,11000,2018
Sales and related occupations,Black or African American,60000,2018
Office and administrative support occupations,Black or African American,64000,2018
"Farming, fishing, and forestry occupations",Black or African American,2000,2018
Construction and extraction occupations,Black or African American,2000,2018
"Installation, maintenance, and repair occupations",Black or African American,6000,2018
Production occupations,Black or African American,22000,2018
Transportation and material moving occupations,Black or African American,119000,2018
"Management, business, and financial operations occupations",Black or African American,79000,2018
Professional and related occupations,Black or African American,92000,2018
Protective service occupations,Black or African American,9000,2018
"Service occupations, except protective",Black or African American,103000,2018
Sales and related occupations,Black or African American,1080000,2018
Office and administrative support occupations,Black or African American,395000,2018
"Farming, fishing, and forestry occupations",Black or African American,1000,2018
Construction and extraction occupations,Black or African American,5000,2018
"Installation, maintenance, and repair occupations",Black or African American,40000,2018
Production occupations,Black or African American,57000,2018
Transportation and material moving occupations,Black or African American,223000,2018
"Management, business, and financial operations occupations",Black or African American,102000,2018
Professional and related occupations,Black or African American,48000,2018
Protective service occupations,Black or African American,7000,2018
"Service occupations, except protective",Black or African American,48000,2018
Sales and related occupations,Black or African American,22000,2018
Office and administrative support occupations,Black or African American,382000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,19000,2018
"Installation, maintenance, and repair occupations",Black or African American,59000,2018
Production occupations,Black or African American,47000,2018
Transportation and material moving occupations,Black or African American,910000,2018
"Management, business, and financial operations occupations",Black or African American,48000,2018
Professional and related occupations,Black or African American,109000,2018
Protective service occupations,Black or African American,0,2018
"Service occupations, except protective",Black or African American,13000,2018
Sales and related occupations,Black or African American,44000,2018
Office and administrative support occupations,Black or African American,74000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,1000,2018
"Installation, maintenance, and repair occupations",Black or African American,41000,2018
Production occupations,Black or African American,5000,2018
Transportation and material moving occupations,Black or African American,4000,2018
"Management, business, and financial operations occupations",Black or African American,384000,2018
Professional and related occupations,Black or African American,94000,2018
Protective service occupations,Black or African American,19000,2018
"Service occupations, except protective",Black or African American,54000,2018
Sales and related occupations,Black or African American,191000,2018
Office and administrative support occupations,Black or African American,288000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,8000,2018
"Installation, maintenance, and repair occupations",Black or African American,20000,2018
Production occupations,Black or African American,7000,2018
Transportation and material moving occupations,Black or African American,23000,2018
"Management, business, and financial operations occupations",Black or African American,319000,2018
Professional and related occupations,Black or African American,395000,2018
Protective service occupations,Black or African American,210000,2018
"Service occupations, except protective",Black or African American,352000,2018
Sales and related occupations,Black or African American,60000,2018
Office and administrative support occupations,Black or African American,319000,2018
"Farming, fishing, and forestry occupations",Black or African American,2000,2018
Construction and extraction occupations,Black or African American,19000,2018
"Installation, maintenance, and repair occupations",Black or African American,31000,2018
Production occupations,Black or African American,37000,2018
Transportation and material moving occupations,Black or African American,133000,2018
"Management, business, and financial operations occupations",Black or African American,440000,2018
Professional and related occupations,Black or African American,2396000,2018
Protective service occupations,Black or African American,41000,2018
"Service occupations, except protective",Black or African American,1783000,2018
Sales and related occupations,Black or African American,13000,2018
Office and administrative support occupations,Black or African American,478000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,9000,2018
"Installation, maintenance, and repair occupations",Black or African American,37000,2018
Production occupations,Black or African American,30000,2018
Transportation and material moving occupations,Black or African American,79000,2018
"Management, business, and financial operations occupations",Black or African American,207000,2018
Professional and related occupations,Black or African American,99000,2018
Protective service occupations,Black or African American,29000,2018
"Service occupations, except protective",Black or African American,1169000,2018
Sales and related occupations,Black or African American,201000,2018
Office and administrative support occupations,Black or African American,102000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,2000,2018
"Installation, maintenance, and repair occupations",Black or African American,14000,2018
Production occupations,Black or African American,30000,2018
Transportation and material moving occupations,Black or African American,54000,2018
"Management, business, and financial operations occupations",Black or African American,65000,2018
Professional and related occupations,Black or African American,124000,2018
Protective service occupations,Black or African American,5000,2018
"Service occupations, except protective",Black or African American,362000,2018
Sales and related occupations,Black or African American,36000,2018
Office and administrative support occupations,Black or African American,56000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,0,2018
"Installation, maintenance, and repair occupations",Black or African American,94000,2018
Production occupations,Black or African American,46000,2018
Transportation and material moving occupations,Black or African American,53000,2018
"Management, business, and financial operations occupations",Black or African American,64000,2018
Professional and related occupations,Black or African American,120000,2018
Protective service occupations,Black or African American,5000,2018
"Service occupations, except protective",Black or African American,292000,2018
Sales and related occupations,Black or African American,36000,2018
Office and administrative support occupations,Black or African American,56000,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,0,2018
"Installation, maintenance, and repair occupations",Black or African American,94000,2018
Production occupations,Black or African American,46000,2018
Transportation and material moving occupations,Black or African American,53000,2018
"Management, business, and financial operations occupations",Black or African American,0,2018
Professional and related occupations,Black or African American,3000,2018
Protective service occupations,Black or African American,0,2018
"Service occupations, except protective",Black or African American,69000,2018
Sales and related occupations,Black or African American,0,2018
Office and administrative support occupations,Black or African American,0,2018
"Farming, fishing, and forestry occupations",Black or African American,0,2018
Construction and extraction occupations,Black or African American,0,2018
"Installation, maintenance, and repair occupations",Black or African American,0,2018
Production occupations,Black or African American,0,2018
Transportation and material moving occupations,Black or African American,0,2018
"Management, business, and financial operations occupations",Black or African American,235000,2018
Professional and related occupations,Black or African American,316000,2018
Protective service occupations,Black or African American,316000,2018
"Service occupations, except protective",Black or African American,70000,2018
Sales and related occupations,Black or African American,4000,2018
Office and administrative support occupations,Black or African American,235000,2018
"Farming, fishing, and forestry occupations",Black or African American,8000,2018
Construction and extraction occupations,Black or African American,11000,2018
"Installation, maintenance, and repair occupations",Black or African American,19000,2018
Production occupations,Black or African American,11000,2018
Transportation and material moving occupations,Black or African American,27000,2018
"Management, business, and financial operations occupations",Asian,14000,2018
Professional and related occupations,Asian,2000,2018
Protective service occupations,Asian,0,2018
"Service occupations, except protective",Asian,0,2018
Sales and related occupations,Asian,0,2018
Office and administrative support occupations,Asian,2000,2018
"Farming, fishing, and forestry occupations",Asian,18000,2018
Construction and extraction occupations,Asian,1000,2018
"Installation, maintenance, and repair occupations",Asian,1000,2018
Production occupations,Asian,1000,2018
Transportation and material moving occupations,Asian,1000,2018
"Management, business, and financial operations occupations",Asian,5000,2018
Professional and related occupations,Asian,12000,2018
Protective service occupations,Asian,0,2018
"Service occupations, except protective",Asian,0,2018
Sales and related occupations,Asian,0,2018
Office and administrative support occupations,Asian,0,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,1000,2018
"Installation, maintenance, and repair occupations",Asian,3000,2018
Production occupations,Asian,0,2018
Transportation and material moving occupations,Asian,2000,2018
"Management, business, and financial operations occupations",Asian,53000,2018
Professional and related occupations,Asian,16000,2018
Protective service occupations,Asian,0,2018
"Service occupations, except protective",Asian,1000,2018
Sales and related occupations,Asian,2000,2018
Office and administrative support occupations,Asian,15000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,106000,2018
"Installation, maintenance, and repair occupations",Asian,17000,2018
Production occupations,Asian,7000,2018
Transportation and material moving occupations,Asian,1000,2018
"Management, business, and financial operations occupations",Asian,198000,2018
Professional and related occupations,Asian,323000,2018
Protective service occupations,Asian,0,2018
"Service occupations, except protective",Asian,15000,2018
Sales and related occupations,Asian,25000,2018
Office and administrative support occupations,Asian,54000,2018
"Farming, fishing, and forestry occupations",Asian,3000,2018
Construction and extraction occupations,Asian,7000,2018
"Installation, maintenance, and repair occupations",Asian,24000,2018
Production occupations,Asian,377000,2018
Transportation and material moving occupations,Asian,44000,2018
"Management, business, and financial operations occupations",Asian,141000,2018
Professional and related occupations,Asian,249000,2018
Protective service occupations,Asian,0,2018
"Service occupations, except protective",Asian,5000,2018
Sales and related occupations,Asian,12000,2018
Office and administrative support occupations,Asian,29000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,5000,2018
"Installation, maintenance, and repair occupations",Asian,21000,2018
Production occupations,Asian,246000,2018
Transportation and material moving occupations,Asian,24000,2018
"Management, business, and financial operations occupations",Asian,57000,2018
Professional and related occupations,Asian,74000,2018
Protective service occupations,Asian,0,2018
"Service occupations, except protective",Asian,10000,2018
Sales and related occupations,Asian,12000,2018
Office and administrative support occupations,Asian,25000,2018
"Farming, fishing, and forestry occupations",Asian,3000,2018
Construction and extraction occupations,Asian,1000,2018
"Installation, maintenance, and repair occupations",Asian,3000,2018
Production occupations,Asian,131000,2018
Transportation and material moving occupations,Asian,20000,2018
"Management, business, and financial operations occupations",Asian,105000,2018
Professional and related occupations,Asian,164000,2018
Protective service occupations,Asian,4000,2018
"Service occupations, except protective",Asian,35000,2018
Sales and related occupations,Asian,535000,2018
Office and administrative support occupations,Asian,143000,2018
"Farming, fishing, and forestry occupations",Asian,2000,2018
Construction and extraction occupations,Asian,2000,2018
"Installation, maintenance, and repair occupations",Asian,24000,2018
Production occupations,Asian,30000,2018
Transportation and material moving occupations,Asian,82000,2018
"Management, business, and financial operations occupations",Asian,40000,2018
Professional and related occupations,Asian,25000,2018
Protective service occupations,Asian,1000,2018
"Service occupations, except protective",Asian,1000,2018
Sales and related occupations,Asian,63000,2018
Office and administrative support occupations,Asian,26000,2018
"Farming, fishing, and forestry occupations",Asian,2000,2018
Construction and extraction occupations,Asian,0,2018
"Installation, maintenance, and repair occupations",Asian,4000,2018
Production occupations,Asian,3000,2018
Transportation and material moving occupations,Asian,26000,2018
"Management, business, and financial operations occupations",Asian,66000,2018
Professional and related occupations,Asian,139000,2018
Protective service occupations,Asian,3000,2018
"Service occupations, except protective",Asian,35000,2018
Sales and related occupations,Asian,472000,2018
Office and administrative support occupations,Asian,117000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,2000,2018
"Installation, maintenance, and repair occupations",Asian,20000,2018
Production occupations,Asian,27000,2018
Transportation and material moving occupations,Asian,56000,2018
"Management, business, and financial operations occupations",Asian,51000,2018
Professional and related occupations,Asian,40000,2018
Protective service occupations,Asian,0,2018
"Service occupations, except protective",Asian,15000,2018
Sales and related occupations,Asian,4000,2018
Office and administrative support occupations,Asian,89000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,2000,2018
"Installation, maintenance, and repair occupations",Asian,11000,2018
Production occupations,Asian,12000,2018
Transportation and material moving occupations,Asian,246000,2018
"Management, business, and financial operations occupations",Asian,56000,2018
Professional and related occupations,Asian,109000,2018
Protective service occupations,Asian,0,2018
"Service occupations, except protective",Asian,1000,2018
Sales and related occupations,Asian,17000,2018
Office and administrative support occupations,Asian,16000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,0,2018
"Installation, maintenance, and repair occupations",Asian,13000,2018
Production occupations,Asian,2000,2018
Transportation and material moving occupations,Asian,0,2018
"Management, business, and financial operations occupations",Asian,335000,2018
Professional and related occupations,Asian,193000,2018
Protective service occupations,Asian,3000,2018
"Service occupations, except protective",Asian,8000,2018
Sales and related occupations,Asian,142000,2018
Office and administrative support occupations,Asian,100000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,0,2018
"Installation, maintenance, and repair occupations",Asian,6000,2018
Production occupations,Asian,4000,2018
Transportation and material moving occupations,Asian,3000,2018
"Management, business, and financial operations occupations",Asian,484000,2018
Professional and related occupations,Asian,956000,2018
Protective service occupations,Asian,21000,2018
"Service occupations, except protective",Asian,60000,2018
Sales and related occupations,Asian,26000,2018
Office and administrative support occupations,Asian,100000,2018
"Farming, fishing, and forestry occupations",Asian,2000,2018
Construction and extraction occupations,Asian,7000,2018
"Installation, maintenance, and repair occupations",Asian,10000,2018
Production occupations,Asian,15000,2018
Transportation and material moving occupations,Asian,16000,2018
"Management, business, and financial operations occupations",Asian,164000,2018
Professional and related occupations,Asian,1476000,2018
Protective service occupations,Asian,6000,2018
"Service occupations, except protective",Asian,391000,2018
Sales and related occupations,Asian,4000,2018
Office and administrative support occupations,Asian,160000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,3000,2018
"Installation, maintenance, and repair occupations",Asian,8000,2018
Production occupations,Asian,9000,2018
Transportation and material moving occupations,Asian,11000,2018
"Management, business, and financial operations occupations",Asian,190000,2018
Professional and related occupations,Asian,45000,2018
Protective service occupations,Asian,8000,2018
"Service occupations, except protective",Asian,576000,2018
Sales and related occupations,Asian,69000,2018
Office and administrative support occupations,Asian,51000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,1000,2018
"Installation, maintenance, and repair occupations",Asian,1000,2018
Production occupations,Asian,8000,2018
Transportation and material moving occupations,Asian,25000,2018
"Management, business, and financial operations occupations",Asian,48000,2018
Professional and related occupations,Asian,56000,2018
Protective service occupations,Asian,1000,2018
"Service occupations, except protective",Asian,417000,2018
Sales and related occupations,Asian,18000,2018
Office and administrative support occupations,Asian,25000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,0,2018
"Installation, maintenance, and repair occupations",Asian,41000,2018
Production occupations,Asian,32000,2018
Transportation and material moving occupations,Asian,12000,2018
"Management, business, and financial operations occupations",Asian,48000,2018
Professional and related occupations,Asian,55000,2018
Protective service occupations,Asian,1000,2018
"Service occupations, except protective",Asian,396000,2018
Sales and related occupations,Asian,18000,2018
Office and administrative support occupations,Asian,25000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,0,2018
"Installation, maintenance, and repair occupations",Asian,41000,2018
Production occupations,Asian,32000,2018
Transportation and material moving occupations,Asian,11000,2018
"Management, business, and financial operations occupations",Asian,0,2018
Professional and related occupations,Asian,1000,2018
Protective service occupations,Asian,0,2018
"Service occupations, except protective",Asian,22000,2018
Sales and related occupations,Asian,0,2018
Office and administrative support occupations,Asian,0,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,0,2018
"Installation, maintenance, and repair occupations",Asian,0,2018
Production occupations,Asian,0,2018
Transportation and material moving occupations,Asian,1000,2018
"Management, business, and financial operations occupations",Asian,69000,2018
